iter	Passed	Remaining
0	2	199
1	3	172
2	5	165
3	6	154
4	8	155
5	9	152
6	11	150
7	13	153
8	14	151
9	16	149
10	18	148
11	20	146
12	21	145
13	23	144
14	25	143
15	26	139
16	28	137
17	30	137
18	32	138
19	34	136
20	35	133
21	36	129
22	37	127
23	39	125
24	40	122
25	42	121
26	44	120
27	46	119
28	47	116
29	48	113
30	49	111
31	51	108
32	52	105
33	53	104
34	55	103
35	56	100
36	57	97
37	57	94
38	59	92
39	60	90
40	61	88
41	62	86
42	63	84
43	64	82
44	65	80
45	66	78
46	67	76
47	68	74
48	69	72
49	72	72
50	73	70
51	74	68
52	75	67
53	77	65
54	78	64
55	79	62
56	80	60
57	81	59
58	82	57
59	84	56
60	85	54
61	86	53
62	87	51
63	88	49
64	89	48
65	90	46
66	91	45
67	92	43
68	93	42
69	94	40
70	95	39
71	96	37
72	97	36
73	98	34
74	99	33
75	100	31
76	100	30
77	101	28
78	102	27
79	103	25
80	104	24
81	105	23
82	105	21
83	106	20
84	107	18
85	108	17
86	108	16
87	109	14
88	110	13
89	111	12
90	111	11
91	112	9
92	113	8
93	114	7
94	114	6
95	116	4
96	116	3
97	117	2
98	118	1
99	119	0
